"title","description","image_url","category"
"تصريح خطير يشكك في نزاهة الدوري التونسي ويمنح اللقب للإفريقي","أعلن النادي الإفريقي، مساء اليوم الثلاثاء، أن لجنة الاستئناف التابعة للاتحاد التونسي لكرة القدم، قررت تأييد حكم مكتب الرابطة الوطنية لكرة القدم المحترفة، والقاض","https://assets.winwin.com/styles/fpc_1110x624/public/2026-04/ifriki.png.webp?h=cee7880a","Football"
"بايرن ميونخ.. نهاية 25 عامًا من المعاناة في سانتياغو برنابيو","انتهت واحدة من أطول العقد التاريخية في دوري أبطال أوروبا، بعدما نجح بايرن ميونخ في تحقيق فوز ثمين على حساب ريال مدريد داخل معقله ""سانتياغو برنابيو""، ليضع حدًا ل","https://assets.winwin.com/styles/fpc_1110x624/public/2026-04/LUIS%20DIAZ%20CELE%20MADRID.jpeg.webp?h=4a6b5a2b","Football"
"هل كانت مباراة بايرن والريال ستنتهي بنفس النتيجة مع كورتوا؟","تلقى ريال مدريد هزيمة قاسية بنتيجة 2-1 على أرضه ووسط جماهيره، أمام بايرن ميونخ في مباراة الذهاب من ربع نهائي دوري أبطال أوروبا على ملعب سانتياغو برنابيو، وهو أو","https://assets.winwin.com/styles/fpc_1110x624/public/2026-04/1%20Real%20Madrid%201%20-%202%20Bayern%20M%C3%BCnchen.jpeg.webp?h=7ef216ad","Football"
"غياب كورتوا يكلف ريال مدريد السقوط أمام بايرن ميونخ","فرض غياب تيبو كورتوا نفسه كأحد أبرز عوامل سقوط ريال مدريد أمام بايرن ميونخ، بعدما خسر الفريق الملكي بنتيجة 2-1 على ملعب ""سانتياغو برنابيو""، في ذهاب ربع نهائي دو","https://assets.winwin.com/styles/fpc_1110x624/public/2026-04/Thibaut%20Courtois%202026.jpeg.webp?h=dcc38b36","Football"
"تونس تتأهل لـ""كان"" الناشئين بالإسعاف.. وإقالة المدرب","ضمن المنتخب التونسي لأقل من 17 عاما مشاركته في نهائيات كأس أمم أفريقيا للناشئين، التي ستحتضنها المغرب خلال الفترة الممتدة من 13 إلى 31 مايو/ أيار 2026، تأكيدًا","https://assets.winwin.com/styles/fpc_1110x624/public/2026-04/toumi.png.webp?h=25612510","Football"
"يوسف المساكني.. نهاية مسيرة نجم تونسي كتب التاريخ بهدوء","أكدت مصادر متطابقة أن النجم التونسي يوسف المساكني قرّر وضع حد لمسيرته الكروية، بعد سنوات طويلة من العطاء، في خطوة مؤثرة تأتي في ظل ظروف نفسية صعبة يعيشها اللاعب","https://assets.winwin.com/styles/fpc_1110x624/public/2026-04/msakni.png.webp?h=2750187c","Football"
"تقييم لاعبي ريال مدريد وبايرن ميونخ.. حراس المرمى الأفضل!","أوفت قمة ريال مدريد وبايرن ميونخ بكل وعودها، في ذهاب ربع نهائي بطولة دوري أبطال أوروبا لهذا الموسم، حيث كانت الإثارة والتشويق حاضرين فيها إلى غاية آخر دقيقة، وا","https://assets.winwin.com/styles/fpc_1110x624/public/2026-04/manuel%20neuer%20real%20madrid%20vs%20bayern%20munich.jpeg.webp?h=d0c9a26e","Football"
"أرقام قياسية في ليلة كسر عقدة بايرن ميونخ ضد ريال مدريد","واصل هاري كين كتابة التاريخ في دوري أبطال أوروبا، بعدما قاد بايرن ميونخ للفوز على ريال مدريد بنتيجة 2-1 على ملعب سانتياغو برنابيو، في ذهاب ربع نهائي البطولة، لي","https://assets.winwin.com/styles/fpc_1110x624/public/2026-04/harry%20kanee.jpeg.webp?h=beae6fd6","Football"
"بايرن ميونخ يستهدف نجم وسط منتخب المغرب","بات لاعب الوسط الدولي المغربي إسماعيل صيباري تحت رادار كبار أندية أوروبا، إثر موسمه الفائق الذي قاد خلاله أيندهوفن إلى لقب الدوري الهولندي، قبل عدة جولات من الن","https://assets.winwin.com/styles/fpc_1110x624/public/2026-04/Bayern%20Munich%20wants%20to%20sign%20a%20Moroccan%20national%20team%20player..jpg.webp?h=2cc0daa5","Football"
"حصيلة دوري الأبطال | بايرن يثأر من ريال مدريد وأرسنال يفوز","شهدت مباريات ذهاب ربع نهائي دوري أبطال أوروبا أحداثا مثيرة، كان أبرزها انتصار بايرن ميونخ على ريال مدريد 2-1، ليثأر الفريق البافاري من هزائمه السابقة من النادي","https://assets.winwin.com/styles/fpc_1110x624/public/2026-04/real%20bayern.jpeg.webp?h=e267ceac","Football"
"تحقيق رسمي.. الفيفا يتدخل في أحداث مباراة مصر وإسبانيا","تدخل الاتحاد الدولي لكرة القدم ""فيفا"" رسميًا لفتح تحقيق في الأحداث التي شهدتها مباراة مصر وإسبانيا الودية، بعد الجدل الكبير الذي أُثير حول الهتافات التي صدرت من","https://assets.winwin.com/styles/fpc_1110x624/public/2026-04/spain%20-%20egy%20-%20fifa.jpeg.webp?h=70ff0373","Football"
